TaskID,StationID,Team,Start,End,Duration
121,2,[71],66.41981272921608,68.31946479381219,1.8996520645961112
125,1,[32],60.538777023867965,62.32428817920638,1.785511155338412
125,1,[32],60.538777023867965,62.32428817920638,1.785511155338412
126,2,[4],60.539637829743974,62.354673640591514,1.8150358108475402
126,2,[4],60.539637829743974,62.354673640591514,1.8150358108475402
127,5,[29],64.90096072499922,66.578451835328,1.6774911103287735
127,5,[29],64.90096072499922,66.578451835328,1.6774911103287735
128,3,[91],65.18473714808849,66.70293218988743,1.518195041798947
128,3,[91],65.18473714808849,66.70293218988743,1.518195041798947
131,4,[81],65.68194271035695,67.25774632762001,1.5758036172630625
131,4,[81],65.68194271035695,67.25774632762001,1.5758036172630625
132,1,[32],62.32428817920638,64.10979933454479,1.785511155338412
132,1,[32],62.32428817920638,64.10979933454479,1.785511155338412
133,2,[4],62.354673640591514,64.16970945143906,1.8150358108475473
133,2,[4],62.354673640591514,64.16970945143906,1.8150358108475473
134,5,[29],66.578451835328,68.25594294565677,1.6774911103287735
134,5,[29],66.578451835328,68.25594294565677,1.6774911103287735
135,3,[91],66.70293218988743,68.22112723168638,1.518195041798947
135,3,[91],66.70293218988743,68.22112723168638,1.518195041798947
136,4,[81],67.25774632762001,68.83354994488307,1.5758036172630625
136,4,[81],67.25774632762001,68.83354994488307,1.5758036172630625
137,1,[32],64.10979933454479,65.8953104898832,1.785511155338412
137,1,[32],64.10979933454479,65.8953104898832,1.785511155338412
138,2,[4],64.16970945143906,65.98474526228661,1.8150358108475473
138,2,[4],64.16970945143906,65.98474526228661,1.8150358108475473
139,5,[29],68.25594294565677,69.93343405598554,1.6774911103287735
139,5,[29],68.25594294565677,69.93343405598554,1.6774911103287735
141,1,[38],67.07455324181174,69.1133538291462,2.038800587334464
141,1,[38],67.07455324181174,69.1133538291462,2.038800587334464
142,3,[91],68.22112723168638,69.73932227348533,1.518195041798947
142,3,[91],68.22112723168638,69.73932227348533,1.518195041798947
143,4,[81],68.83354994488307,70.40935356214614,1.5758036172630625
143,4,[81],68.83354994488307,70.40935356214614,1.5758036172630625
144,1,[32],65.8953104898832,67.68082164522161,1.785511155338412
144,1,[32],65.8953104898832,67.68082164522161,1.785511155338412
145,2,[4],65.98474526228661,67.79978107313416,1.8150358108475473
145,2,[4],65.98474526228661,67.79978107313416,1.8150358108475473
101,2,[71],68.31946479381219,70.07136615345607,1.751901359643881
101,2,[71],68.31946479381219,70.07136615345607,1.751901359643881
45,5,[29],69.93343405598554,71.4245373268866,1.4911032709010499
45,5,[29],69.93343405598554,71.4245373268866,1.4911032709010499
77,3,[91],69.73932227348533,71.08882903316555,1.3495067596802244
77,3,[91],69.73932227348533,71.08882903316555,1.3495067596802244
78,1,[32],67.68082164522161,69.26794273788339,1.587121092661775
78,1,[32],67.68082164522161,69.26794273788339,1.587121092661775
79,4,[81],70.40935356214614,71.81006794658072,1.400714384434579
79,4,[81],70.40935356214614,71.81006794658072,1.400714384434579
80,1,[32],69.26794273788339,70.85506383054516,1.587121092661775
80,1,[32],69.26794273788339,70.85506383054516,1.587121092661775
81,2,[4],67.79978107313416,69.41314630511258,1.6133652319784204
81,2,[4],67.79978107313416,69.41314630511258,1.6133652319784204
82,3,[91],71.08882903316555,72.43833579284578,1.3495067596802244
82,3,[91],71.08882903316555,72.43833579284578,1.3495067596802244
103,5,[29],71.4245373268866,72.91564059778764,1.4911032709010499
103,5,[29],71.4245373268866,72.91564059778764,1.4911032709010499
41,2,[71],70.07136615345607,71.65440958255583,1.5830434290997601
41,2,[71],70.07136615345607,71.65440958255583,1.5830434290997601
43,4,[81],71.81006794658072,73.1232376624204,1.3131697158396776
43,4,[81],71.81006794658072,73.1232376624204,1.3131697158396776
76,1,[38],69.1133538291462,70.81235436359972,1.6990005344535177
76,1,[38],69.1133538291462,70.81235436359972,1.6990005344535177
109,1,[32],70.85506383054516,72.34298983274375,1.4879260021985914
109,1,[32],70.85506383054516,72.34298983274375,1.4879260021985914
42,2,[4],69.41314630511258,70.82484083801678,1.4116945329042068
42,2,[4],69.41314630511258,70.82484083801678,1.4116945329042068
44,3,[91],72.43833579284578,73.61915416986119,1.180818377015413
44,3,[91],72.43833579284578,73.61915416986119,1.180818377015413
97,5,[29],72.91564059778764,74.01532919480836,1.099688597020716
97,5,[29],72.91564059778764,74.01532919480836,1.099688597020716
72,2,[71],71.65440958255583,72.86807618637052,1.213666603814687
72,2,[71],71.65440958255583,72.86807618637052,1.213666603814687
73,4,[81],73.1232376624204,74.13000109035853,1.0067634279381394
73,4,[81],73.1232376624204,74.13000109035853,1.0067634279381394
74,1,[38],70.81235436359972,72.1149214130092,1.3025670494094754
74,1,[38],70.81235436359972,72.1149214130092,1.3025670494094754
75,2,[4],70.82484083801678,71.98444705718077,1.1596062191639902
75,2,[4],70.82484083801678,71.98444705718077,1.1596062191639902
40,1,[32],72.34298983274375,73.43413559133933,1.091145758595573
40,1,[32],72.34298983274375,73.43413559133933,1.091145758595573
52,3,[91],73.61915416986119,74.46259588209307,0.8434417122318791
52,3,[91],73.61915416986119,74.46259588209307,0.8434417122318791
88,5,[29],74.01532919480836,74.94726872523454,0.9319395304261775
88,5,[29],74.01532919480836,74.94726872523454,0.9319395304261775
89,2,[71],72.86807618637052,73.92343847243701,1.0553622860664973
89,2,[71],72.86807618637052,73.92343847243701,1.0553622860664973
104,4,[81],74.13000109035853,75.00544756758498,0.875446477226447
104,4,[81],74.13000109035853,75.00544756758498,0.875446477226447
106,2,[4],71.98444705718077,72.99280031214165,1.0083532549608805
106,2,[4],71.98444705718077,72.99280031214165,1.0083532549608805
112,1,[38],72.1149214130092,73.24758843597822,1.1326670229690166
112,1,[38],72.1149214130092,73.24758843597822,1.1326670229690166
86,1,[32],73.43413559133933,74.28721318012316,0.8530775887838331
86,1,[32],73.43413559133933,74.28721318012316,0.8530775887838331
63,3,[91],74.46259588209307,75.17952135759938,0.716925475506315
63,3,[91],74.46259588209307,75.17952135759938,0.716925475506315
64,2,[71],73.92343847243701,74.82049644075533,0.8970579683183217
64,2,[71],73.92343847243701,74.82049644075533,0.8970579683183217
71,5,[29],74.94726872523454,75.73941734831595,0.7921486230814168
71,5,[29],74.94726872523454,75.73941734831595,0.7921486230814168
48,2,[4],72.99280031214165,73.79948292813086,0.8066826159892031
48,2,[4],72.99280031214165,73.79948292813086,0.8066826159892031
49,4,[81],75.00544756758498,75.70580475980228,0.7003571922172966
